tx_price,beds,baths,sqft,year_built
295850,1,1,584,2013
216500,1,1,612,1965
279900,1,1,615,1963
379900,1,1,618,2000
340000,1,1,634,1992
265000,1,1,641,1947
240000,1,1,642,1944
388100,1,1,650,2000
240000,1,1,660,1983
250000,1,1,664,1965
335000,1,1,669,2006
376750,1,1,673,2005
210000,1,1,680,1963
289900,1,1,685,1960
535000,1,1,687,2008
218000,1,1,689,1988
400000,1,1,689,2008
226000,1,1,690,1997
363700,1,1,692,2007
215000,1,1,698,1963
327000,1,1,698,2005
331100,1,1,700,2005
240000,1,1,703,1992
320000,1,1,704,2005
290800,1,1,704,2006
375000,1,1,705,1985
377000,1,1,709,2005
262500,1,1,711,1944
216250,1,1,712,1944
270000,1,1,722,1985
235000,1,1,723,2005
225000,1,1,724,1958
370000,1,1,725,2006
232000,1,1,736,1998
281900,1,1,737,2000
355000,1,1,740,2000
350000,1,1,741,2006
231900,1,1,750,1964
284000,1,1,755,1996
255000,1,1,759,1959
285850,1,1,759,2006
249298,1,1,759,2012
380000,1,1,760,1991
244800,1,1,767,1944
397400,1,1,771,2005
345000,1,1,781,2006
220000,1,1,792,1987
279000,1,1,796,1986
286900,1,1,797,2005
220000,1,1,800,1985
305000,1,1,805,1941
409575,1,1,805,2005
300367,1,1,805,2007
230000,1,1,809,1965
270000,1,1,810,1975
210000,1,1,811,1969
366700,1,1,817,2004
238600,1,1,834,1992
284900,1,1,838,2007
253000,1,1,850,1974
305000,1,1,850,1984
280000,1,1,850,1986
411000,1,1,855,2006
270900,1,1,856,2005
406250,1,1,859,2000
365000,1,1,866,1989
440000,1,1,879,2008
250000,1,1,880,1965
350100,1,1,900,1947
250000,1,1,900,1965
305000,1,1,902,1978
200000,1,1,914,1982
371500,1,1,917,2007
270000,1,1,920,1978
318000,1,1,926,1973
408400,1,1,933,2005
325000,1,1,934,1993
239000,1,1,945,1984
367500,1,1,950,1986
378000,1,1,961,2006
269000,1,1,966,1996
245000,1,1,999,1979
225000,1,1,1005,1982
302000,1,1,1014,1985
387900,1,1,1050,2005
560000,1,1,1092,1984
750000,1,1,1322,2009
299700,1,2,814,2008
779900,1,2,1207,2012
379000,1,2,1489,1940
225000,2,1,768,1950
230000,2,1,793,1950
328000,2,1,800,1950
407800,2,1,803,2000
470630,2,1,814,2005
270000,2,1,816,1949
359500,2,1,835,1954
355000,2,1,836,1994
283000,2,1,845,1942
378000,2,1,864,1942
255000,2,1,870,1984
306000,2,1,875,1950
292999,2,1,875,1950
369900,2,1,891,2004
326000,2,1,893,2003
